"barrels08","city08","highway08","comb08","co2TailpipeGpm","cylinders","displ","drive","fuelCost08","fuelType","id","make","model","mpgData","pv2","pv4","trany","VClass","year"
21.974,13,18,15,592.466666666667,8,4.8,"4-Wheel or All-Wheel Drive","2850","Regular",16158,"GMC","Sierra 1500 4WD","N","0","0","Manual 5-spd","Standard Pickup Trucks 4WD","2000"
23.5435714285714,13,16,14,634.785714285714,8,5.3,"4-Wheel or All-Wheel Drive","3050","Regular",16159,"GMC","Sierra 1500 4WD","Y","0","0","Automatic 4-spd","Standard Pickup Trucks 4WD","2000"
20.600625,14,19,16,555.4375,6,4.3,"4-Wheel or All-Wheel Drive","2650","Regular",16160,"GMC","Sonoma 4WD","Y","0","0","Automatic 4-spd","Standard Pickup Trucks 4WD","2000"
19.3888235294118,15,20,17,522.764705882353,6,4.3,"4-Wheel or All-Wheel Drive","2500","Regular",16161,"GMC","Sonoma 4WD","N","0","0","Manual 5-spd","Standard Pickup Trucks 4WD","2000"
20.600625,14,19,16,555.4375,6,4.3,"4-Wheel or All-Wheel Drive","2650","Regular",16162,"Isuzu","Hombre Pickup 4WD","N","0","0","Automatic 4-spd","Standard Pickup Trucks 4WD","2000"
19.3888235294118,15,20,17,522.764705882353,6,4.3,"4-Wheel or All-Wheel Drive","2500","Regular",16163,"Isuzu","Hombre Pickup 4WD","N","0","0","Manual 5-spd","Standard Pickup Trucks 4WD","2000"
21.974,14,17,15,592.466666666667,6,4,"4-Wheel or All-Wheel Drive","2850","Regular",16164,"Mazda","B4000 4WD","N","0","0","Automatic 5-spd","Standard Pickup Trucks 4WD","2000"
20.600625,15,19,16,555.4375,6,4,"4-Wheel or All-Wheel Drive","2650","Regular",16165,"Mazda","B4000 4WD","N","0","0","Manual 5-spd","Standard Pickup Trucks 4WD","2000"
19.3888235294118,16,19,17,522.764705882353,4,2.4,"4-Wheel or All-Wheel Drive","2500","Regular",16166,"Nissan","Frontier 4WD","N","0","0","Manual 5-spd","Standard Pickup Trucks 4WD","2000"
21.974,14,17,15,592.466666666667,6,3.3,"4-Wheel or All-Wheel Drive","2850","Regular",16167,"Nissan","Frontier V6 4WD","Y","0","0","Automatic 4-spd","Standard Pickup Trucks 4WD","2000"
21.974,15,17,15,592.466666666667,6,3.3,"4-Wheel or All-Wheel Drive","2850","Regular",16168,"Nissan","Frontier V6 4WD","N","0","0","Manual 5-spd","Standard Pickup Trucks 4WD","2000"
18.3116666666667,17,20,18,493.722222222222,4,2.7,"4-Wheel or All-Wheel Drive","2350","Regular",16169,"Toyota","Tacoma 4WD","Y","0","0","Automatic 4-spd","Standard Pickup Trucks 4WD","2000"
19.3888235294118,15,19,17,522.764705882353,4,2.7,"4-Wheel or All-Wheel Drive","2500","Regular",16170,"Toyota","Tacoma 4WD","Y","0","0","Manual 5-spd","Standard Pickup Trucks 4WD","2000"
