ISO3,Year,Users
AFG,2007,1.9
ALB,2007,15.0361154084
DZA,2007,9.4511906256
ASM,2007, 
ADO,2007,70.87
AGO,2007,3.2
ATG,2007,34
ARG,2007,25.9466329404
ARM,2007,6.0212533971
ABW,2007,30.9
AUS,2007,69.45
AUT,2007,69.37
AZE,2007,14.54
BHS,2007,27
BHR,2007,32.91
BGD,2007,1.8
BRB,2007,58.2
BLR,2007,19.7
BEL,2007,64.44
BLZ,2007,24.6
BEN,2007,1.79
BMU,2007,74.3505940303
BTN,2007,5.92
BOL,2007,10.4992443169
BIH,2007,27.92
BWA,2007,5.28
BRA,2007,30.88
VGB,2007, 
BRN,2007,44.68
BGR,2007,33.64
BFA,2007,0.75
BDI,2007,0.7
CPV,2007,8.2832198195
KHM,2007,0.49
CMR,2007,2.93
CAN,2007,73.2
CYM,2007,52
CAF,2007,0.375815961
TCD,2007,0.8472245207
CHI,2007, 
CHL,2007,35.9
CHN,2007,16
COL,2007,21.8
COM,2007,2.5
ZAR,2007,0.37
COG,2007,2.7597043737
CRI,2007,28.4
CIV,2007,1.8
HRV,2007,41.44
CUB,2007,11.69
CUW,2007, 
CYP,2007,40.77
CZE,2007,51.93
DNK,2007,85.03
DJI,2007,1.62
DMA,2007,40.2744630072
DOM,2007,17.66
ECU,2007,10.8
EGY,2007,16.03
SLV,2007,6.11
GNQ,2007,1.5571230594
ERI,2007,0.41
EST,2007,66.19
ETH,2007,0.37
FRO,2007,75.98
FJI,2007,10.8978310455
FIN,2007,80.78
FRA,2007,66.09
PYF,2007,28.59
GAB,2007,5.7670045756
GMB,2007,6.2050374185
GEO,2007,8.26
DEU,2007,75.16
GHA,2007,3.85
GIB,2007,51.61
GRC,2007,35.88
GRL,2007,61.07
GRD,2007,22.29
GUM,2007,46.1504736192
GTM,2007,7.3
GIN,2007,0.7800252791
GNB,2007,2.2063022375
GUY,2007,13.8
HTI,2007,7.2
HND,2007,9.4
HKG,2007,64.8
HUN,2007,53.3
ISL,2007,90.6
IND,2007,3.95
IDN,2007,5.7862747293
IRN,2007,9.47
IRQ,2007,0.93
IRL,2007,61.158324551
IMY,2007, 
ISR,2007,48.1280621948
ITA,2007,40.79
JAM,2007,21.1
JPN,2007,74.3
JOR,2007,20
KAZ,2007,4.02
KEN,2007,7.95
KIR,2007,6
PRK,2007,0
KOR,2007,78.8
KSV,2007, 
KWT,2007,34.8
KGZ,2007,14.03
LAO,2007,1.64
LVA,2007,59.17
LBN,2007,18.74
LSO,2007,3.4454312597
LBR,2007,0.5513765806
LBY,2007,4.7219993785
LIE,2007,65.0802184432
LTU,2007,49.9
LUX,2007,78.92
MAC,2007,47.327
MKD,2007,36.3
MDG,2007,0.65
MWI,2007,0.9658647366
MYS,2007,55.7
MDV,2007,16.3
MLI,2007,0.81
MLT,2007,46.9
MHL,2007,3.95
MRT,2007,1.4336131959
MUS,2007,20.22
MEX,2007,20.81
FSM,2007,13.6211327334
MDA,2007,20.45
MCO,2007,64.3776824034
MNG,2007,9
MNE,2007,30.8
MAR,2007,21.5
MOZ,2007,0.91
MMR,2007,0.2171284451
NAM,2007,4.8356107783
NRU,2007, 
NPL,2007,1.41
NLD,2007,85.82
NCL,2007,35.05
NZL,2007,69.76
NIC,2007,3.9
NER,2007,0.3903906198
NGA,2007,6.77
MNP,2007, 
NOR,2007,86.93
OMN,2007,16.68
PAK,2007,6.8
PLW,2007, 
PAN,2007,22.29
PNG,2007,1.7905593614
PRY,2007,11.21
PER,2007,25.2
PHL,2007,5.97
POL,2007,48.6
PRT,2007,42.09
PRI,2007,27.86
QAT,2007,37
ROM,2007,28.3
RUS,2007,24.66
RWA,2007,2.1153871783
WSM,2007,4.7499832354
SMR,2007,50.3648221089
STP,2007,14.5904831987
SAU,2007,30
SEN,2007,6.89
SRB,2007,33.15
SYC,2007,38.38
SLE,2007,0.2398346985
SGP,2007,69.9
SXM,2007, 
SVK,2007,61.8
SVN,2007,56.74
SLB,2007,2
SOM,2007,1.1222356216
ZAF,2007,8.0653751736
SSD,2007, 
ESP,2007,55.11
LKA,2007,3.88
KNA,2007,43.5
LCA,2007,27.9
MAF,2007, 
VCT,2007,16
SDN,2007,8.66
SUR,2007,14.11
SWZ,2007,4.1
SWE,2007,82.01
CHE,2007,77.2
SYR,2007,11.5
TJK,2007,7.197619518
TZA,2007,1.6
THA,2007,20.03
TMP,2007,0.1409587639
TGO,2007,2.2
TON,2007,7.179865329
TTO,2007,32.3
TUN,2007,17.1
TUR,2007,28.63
TKM,2007,1.4063606881
TCA,2007, 
TUV,2007,10
UGA,2007,3.6719653507
UKR,2007,6.55
ARE,2007,61
GBR,2007,75.09
USA,2007,75
URY,2007,34
UZB,2007,7.4906046814
VUT,2007,6.8
VEN,2007,20.83
VNM,2007,20.755444768
VIR,2007,27.3393358364
WBG,2007,21.176
YEM,2007,5.01
ZMB,2007,4.87
ZWE,2007,10.85
